"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","analysis_group"
"GO:0009986","cell surface",465,0.40284653466277,1.73137030990212,9.87111795671666e-10,4.31367854708518e-07,3.71985287211007e-07,2006,"tags=55%, list=37%, signal=38%","P00734/P29965/Q86YW5/P08246/P01127/P11226/P15848/Q99075/P31431/Q13410/Q9P126/P05154/P05067/Q8WXI7/P08571/P08962/P08473/Q96LA5/P04085/P01137/Q6Q8B3/Q9NQ25/P35225/P78325/Q5ZPR3/P02788/P35579/Q6UXG8/Q86UP6/P07307/Q12846/P15692/P56159/P41439/P31997/Q9Y6Q6/P01588/Q92956/P02778/Q6UX15/Q01973/Q96DU3/Q99523/P14207/P09486/Q92692/P54652/P21589/Q86VB7/Q6EIG7/Q9HBE5/Q9NY25/P35580/P43489/Q14118/Q8WXI8/P40198/Q07011/Q6FHJ7/Q01974/P24394/P22413/Q99665/P40259/Q9BQ51/Q02643/P29317/A6NI73/P01903/Q96LA6/P22897/P04083/P08174/Q96D42/Q13444/P51617/Q13576/P13747/P05187/P54764/P78333/Q6EMK4/P07204/Q6UX52/O14763/P01135/P07306/Q12918/P55259/P07858/P09525/Q9Y5W5/P01024/P07359/Q03405/P20273/P78423/Q92823/P08582/P35052/Q96PD2/Q7KYR7/P01375/P37173/P32927/Q9NPY3/P16109/P17927/P41217/Q99062/Q9BZW8/Q15109/P15144/Q8IZP9/P19022/Q9H5Y7/Q01151/Q96B86/O00451/Q13421/P78410/P15291/Q86Y22/P26842/Q13241/Q15762/Q16653/Q14126/P04216/Q14512/O43866/P15328/P15151/P78324/Q9UJ71/O60609/P04233/P48357/Q14246/Q9NZQ7/Q9Y639/P19320/Q10589/P15529/P57087/Q9NWZ3/O95183/Q8IX30/O15354/Q99683/Q9HBG7/P10646/P04629/Q9Y5C1/P16150/O00220/P42081/Q9UMR7/Q3KPI0/Q02246/P14174/P49771/Q02539/Q99650/Q9BXN2/Q13478/P30203/O00241/Q15262/P33681/Q13261/Q9UHF1/P00813/Q86T13/Q76LX8/P28906/Q5T2D2/P04439/P42892/O75056/P42702/Q9NPH3/Q92859/P30533/P09958/P00742/O60895/P06213/Q9H4D0/Q9BZR6/Q8NHJ6/Q8IZF2/Q7Z6M3/P06731/O75144/P06127/P36897/Q6UXB4/P18627/Q9BTN0/O75354/Q9H6B4/Q9BQT9/Q9UQV4/P00749/Q9NRA1/Q13443/P61769/O95393/P16581/Q9HCK4/Q8NFZ4/Q9ULL4/P15514/Q01113/P16234/P30530/P00390/P05362/Q5VWK5/O75330/Q8TD46/Q6ZMJ2/O75462/P40189/P14415/P42701/O43490/P01130/Q6UXK2/P98161/P20138/Q07021/P08138/Q06418/P01732/P78552/P25942/P29017/P07333/Q9HCN6/Q9H2X3/Q16853/P48023/P22303/Q15116/P25445/P13591/Q9UM47/P10747/P19438/P27487/Q8IUN9/P08887/O60449/Q15465/Q03167/P13726","stroke_of_other_etiology"
"GO:0030141","secretory granule",386,0.410900908018222,1.75997062405686,9.03429848661939e-09,3.93895414016606e-06,1.70225203063671e-06,1790,"tags=46%, list=33%, signal=33%","Q9NRS4/P12724/P41218/P80511/P01133/P35625/Q86YW5/Q96CS3/P07093/P16278/P08246/P01127/P54317/P15848/Q7Z6P3/P02776/P98066/Q9BSW2/P14416/P53634/P17213/P20160/Q9Y251/P05154/P49767/P36222/P05164/P37108/P02775/P78380/P05067/P07741/Q99460/P08571/P08962/P00491/P19878/O00194/O15389/P07478/P08473/Q8N6Q3/O15400/P24071/P04085/P01137/P57764/P05089/P56202/P78325/P02788/P35579/Q9Y5K2/Q13510/P05121/O95721/Q01432/Q86UP6/Q12846/P15692/P49755/Q9UBU3/P41439/P31997/O00292/P01178/P09172/P09486/Q99574/P61812/Q9UBX7/P37840/Q9NY25/Q9BRF8/Q8WXI8/P40198/Q8IYS5/Q5JS37/P01033/Q9UNP9/Q02643/Q07065/P09341/P08174/Q13444/Q13576/Q06033/Q6GTX8/Q92520/Q9NZK5/P55259/P07858/P09525/O60259/P02750/P01024/Q03405/P14210/Q9BV40/P07339/P14555/O15078/Q6ZU15/Q9NPY3/P16109/P17927/Q07654/Q9UHL4/P15144/P15291/Q9UQB8/O75629/Q8WUD1/Q99969/Q9UGN4/P08236/Q8WVQ1/Q8IWL1/P07492/P04040/P78324/Q8N6C8/Q9Y336/Q01469/P06850/P24158/Q10589/P20333/P15529/P13473/Q9HD89/P09668/P07711/P14174/P16035/Q9UK85/P01833/P02763/O60271/Q9Y4I1/Q9BY15/O00241/Q5QGZ9/P35613/P30519/P19838/P42892/P01034/Q9H2R5/P10619/Q92820/P01011/P80188/P61916/P31949/Q14624/P61026/O43915/Q9UBR2/Q9UQV4/P00749/O15496/P61769/P59665/P22466/P25815/Q92876/P17405/Q6XQN6/Q96QH8/P06744/Q8NBS9/P49765/P11684/P48060/O94856/Q9UJU6/Q12912","stroke_of_other_etiology"
"GO:0099503","secretory vesicle",436,0.379336790495351,1.62734756614181,3.07881768347827e-07,0.000133928569231305,3.8674271252113e-05,1790,"tags=43%, list=33%, signal=32%","Q9NRS4/P12724/P41218/P80511/P01133/P35625/Q86YW5/Q96CS3/P07093/P16278/P08246/P01127/P54317/P15848/Q7Z6P3/P02776/P59780/P98066/Q9BSW2/P14416/P53634/Q9BTT0/P17213/P20160/Q9Y251/P05154/P49767/P36222/P05164/P37108/P02775/P78380/P05067/P07741/Q99460/P08571/P08962/P00491/P19878/O00194/O15389/P07478/P23560/P08473/Q8N6Q3/O15400/P24071/P04085/P01137/P57764/P05089/P56202/P78325/P02788/P35579/Q9Y5K2/Q13510/P05121/O95721/Q01432/Q86UP6/Q12846/P15692/P49755/Q8IYJ3/Q9UBU3/P41439/P31997/O00292/P01178/P09172/P09486/Q99574/P61812/Q9UBX7/P37840/Q9NY25/Q9BRF8/Q8WXI8/P40198/Q9Y296/Q8IYS5/Q5JS37/P01033/Q9UNP9/Q02643/Q07065/P09341/P08174/Q13444/Q13576/Q06033/Q6GTX8/Q92520/Q9NZK5/P55259/P07858/P09525/O60259/P02750/P01024/Q03405/P14210/Q9BV40/P07339/P14555/O15078/Q6ZU15/O14662/Q9NPY3/P16109/P17927/Q07654/Q9UHL4/P15144/P15291/Q9UQB8/O75629/Q8WUD1/Q99969/Q9UGN4/P08236/Q8WVQ1/Q8IWL1/P07492/P04040/P78324/Q8N6C8/Q9Y336/Q01469/P06850/P24158/Q10589/P20333/P15529/P13473/Q9HD89/P09668/Q99497/P07711/P14174/P16035/Q9UK85/P01833/P02763/O60271/P61421/Q9Y4I1/Q9BY15/O00241/Q5QGZ9/P35613/P30519/P19838/P42892/P01034/Q9H2R5/P10619/Q92820/P01011/P80188/P61916/P31949/Q14624/P61026/O43915/Q9UBR2/Q9UQV4/P00749/O15496/P61769/P59665/P22466/P25815/Q92599/Q92876/P17405/Q6XQN6/Q96QH8/P06744/Q8NBS9/Q96AJ9/P49765/P11684/P48060/O75348/O94856/Q9UJU6/Q12912","stroke_of_other_etiology"
"GO:0034774","secretory granule lumen",167,0.466295493859036,1.86712623430793,7.35886058573644e-07,0.000319374549420962,4.71345624913406e-05,1290,"tags=41%, list=24%, signal=32%","P12724/P41218/P80511/P01133/P35625/Q96CS3/P16278/P08246/P01127/P15848/P02776/Q9BSW2/P53634/P17213/P20160/Q9Y251/P49767/P36222/P05164/P37108/P02775/P05067/P07741/Q99460/P00491/P07478/P04085/P01137/P57764/P05089/P56202/P02788/P05121/Q01432/P15692/Q9UBU3/P41439/O00292/P09172/P09486/Q99574/P61812/Q9BRF8/Q8IYS5/Q5JS37/P01033/Q9UNP9/P09341/Q06033/Q92520/Q9NZK5/P02750/P01024/P14210/P07339/O15078/Q9UHL4/O75629/Q99969/P08236/Q8WVQ1/P07492/P04040/Q01469/P06850/P24158/Q9HD89/P09668","stroke_of_other_etiology"
"GO:0005773","vacuole",290,0.410925824799842,1.72718977841615,8.79335245130918e-07,0.000380752161141687,4.71345624913406e-05,2003,"tags=53%, list=37%, signal=36%","P12724/P41218/P01133/Q96CS3/Q7Z6L1/P16278/Q9UM22/P08246/P15848/Q7Z6P3/P31431/P53634/P17213/P20160/Q9Y251/Q9HAT2/P05164/Q14457/P05067/Q99460/P20718/P08962/P19878/Q14964/P07478/O15400/Q9HCE0/Q99538/P05089/P56202/P78325/P48052/Q13510/O95721/Q12846/P13611/P19484/P31997/Q99523/P20645/P37840/Q9BRF8/Q8NCC3/P19474/Q5JS37/P43234/P22413/Q9HA65/Q96NA2/Q07065/P01903/Q96RU3/P54252/Q9BQS8/P10144/Q86VP1/Q9NZK5/P78333/P35247/Q6EMK4/P07204/Q15043/O00203/P07858/O15455/O14773/Q9NXN4/P01024/Q9UIK4/Q9HD42/Q9BV40/P13284/P07339/P35052/O15553/O43504/Q99062/Q9UHL4/P15144/P15291/P17050/O75629/Q8WUD1/P08236/P04233/Q01469/P24158/Q10589/P13473/Q9HD89/P09668/Q01459/Q07954/P17181/P07711/Q04900/P01833/Q14108/Q16625/O60271/P61421/Q9Y4I1/O00468/P00813/P28906/Q14849/P42892/O75056/P98160/Q9BPZ7/O60895/P06213/P20774/P10619/Q92820/P01011/P61916/O75674/P61026/O75143/Q6UW56/Q9UBR2/Q9UQV4/O15496/P61769/P59665/P17405/Q6XQN6/Q93091/P04062/Q96GW7/Q01484/Q8NBS9/Q96AJ9/P48060/Q8TDB6/O75348/Q12912/P01130/P53816/Q9UBX1/P28799/P29017/P16112/O60218/P48023/P04114/P22749/Q96A56/P25774/P27487/P49754/P53990/Q9Y2E5/O95166","stroke_of_other_etiology"
"GO:0031983","vesicle lumen",172,0.4627470924049,1.86000141073607,9.48581378620376e-07,0.000409787155564003,4.71345624913406e-05,1755,"tags=52%, list=32%, signal=37%","P12724/P41218/P80511/P01133/P35625/Q96CS3/P16278/P08246/P01127/P15848/P02776/Q9BSW2/P53634/P17213/P20160/Q9Y251/P49767/P36222/P05164/P37108/P02775/P05067/P07741/Q99460/P00491/P07478/P04085/P01137/P57764/P05089/P56202/P02788/P05121/Q01432/P15692/Q9UBU3/P41439/O00292/P09172/P09486/Q99574/P61812/Q9BRF8/Q8IYS5/Q5JS37/P01033/Q9UNP9/P10144/P09341/Q06033/Q92520/Q9NZK5/P02750/P01024/P14210/P07339/O15078/Q9UHL4/O75629/Q99969/P08236/Q8WVQ1/P07492/P04040/Q01469/P06850/P24158/Q9HD89/P09668/P14174/P16035/P02763/P00813/P19838/P10619/Q92820/P01011/P80188/P61916/P31949/Q14624/O43915/Q9UBR2/P61769/P59665/P25815/Q6XQN6/P06744/Q8NBS9/P49765","stroke_of_other_etiology"
"GO:0000323","lytic vacuole",265,0.410839352078762,1.71127515860637,1.00062199702287e-06,0.000430267458719836,4.71345624913406e-05,2003,"tags=54%, list=37%, signal=36%","P12724/P41218/P01133/Q96CS3/Q7Z6L1/P16278/Q9UM22/P08246/P15848/Q7Z6P3/P31431/P53634/P17213/P20160/Q9Y251/Q9HAT2/P05164/P05067/Q99460/P20718/P08962/P19878/Q14964/P07478/O15400/Q9HCE0/Q99538/P05089/P56202/P78325/Q13510/O95721/P13611/P19484/P31997/Q99523/P20645/P37840/Q9BRF8/Q8NCC3/Q5JS37/P43234/P22413/Q96NA2/Q07065/P01903/Q96RU3/P54252/Q9BQS8/P10144/Q9NZK5/P78333/P35247/Q6EMK4/Q15043/O00203/P07858/O15455/O14773/Q9NXN4/P01024/Q9HD42/Q9BV40/P13284/P07339/P35052/O43504/Q99062/Q9UHL4/P15144/P15291/P17050/O75629/P08236/P04233/Q01469/P24158/Q10589/P13473/Q9HD89/P09668/Q01459/Q07954/P17181/P07711/Q04900/P01833/Q14108/Q16625/O60271/P61421/Q9Y4I1/O00468/P00813/P28906/Q14849/P42892/O75056/P98160/Q9BPZ7/O60895/P06213/P20774/P10619/Q92820/P01011/P61916/O75674/P61026/Q6UW56/Q9UBR2/Q9UQV4/O15496/P61769/P59665/P17405/Q6XQN6/Q93091/P04062/Q96GW7/Q01484/Q8NBS9/P48060/Q8TDB6/O75348/Q12912/P01130/P53816/Q9UBX1/P28799/P29017/P16112/O60218/P48023/P04114/P22749/P25774/P27487/P49754/P53990/Q9Y2E5/O95166","stroke_of_other_etiology"
"GO:0005764","lysosome",265,0.410839352078762,1.71127515860637,1.00062199702287e-06,0.000430267458719836,4.71345624913406e-05,2003,"tags=54%, list=37%, signal=36%","P12724/P41218/P01133/Q96CS3/Q7Z6L1/P16278/Q9UM22/P08246/P15848/Q7Z6P3/P31431/P53634/P17213/P20160/Q9Y251/Q9HAT2/P05164/P05067/Q99460/P20718/P08962/P19878/Q14964/P07478/O15400/Q9HCE0/Q99538/P05089/P56202/P78325/Q13510/O95721/P13611/P19484/P31997/Q99523/P20645/P37840/Q9BRF8/Q8NCC3/Q5JS37/P43234/P22413/Q96NA2/Q07065/P01903/Q96RU3/P54252/Q9BQS8/P10144/Q9NZK5/P78333/P35247/Q6EMK4/Q15043/O00203/P07858/O15455/O14773/Q9NXN4/P01024/Q9HD42/Q9BV40/P13284/P07339/P35052/O43504/Q99062/Q9UHL4/P15144/P15291/P17050/O75629/P08236/P04233/Q01469/P24158/Q10589/P13473/Q9HD89/P09668/Q01459/Q07954/P17181/P07711/Q04900/P01833/Q14108/Q16625/O60271/P61421/Q9Y4I1/O00468/P00813/P28906/Q14849/P42892/O75056/P98160/Q9BPZ7/O60895/P06213/P20774/P10619/Q92820/P01011/P61916/O75674/P61026/Q6UW56/Q9UBR2/Q9UQV4/O15496/P61769/P59665/P17405/Q6XQN6/Q93091/P04062/Q96GW7/Q01484/Q8NBS9/P48060/Q8TDB6/O75348/Q12912/P01130/P53816/Q9UBX1/P28799/P29017/P16112/O60218/P48023/P04114/P22749/P25774/P27487/P49754/P53990/Q9Y2E5/O95166","stroke_of_other_etiology"
"GO:0060205","cytoplasmic vesicle lumen",171,0.463152477108964,1.85958272107238,1.42425423352698e-06,0.000611005066183075,5.96354404213637e-05,1755,"tags=53%, list=32%, signal=37%","P12724/P41218/P80511/P01133/P35625/Q96CS3/P16278/P08246/P01127/P15848/P02776/Q9BSW2/P53634/P17213/P20160/Q9Y251/P49767/P36222/P05164/P37108/P02775/P05067/P07741/Q99460/P00491/P07478/P04085/P01137/P57764/P05089/P56202/P02788/P05121/Q01432/P15692/Q9UBU3/P41439/O00292/P09172/P09486/Q99574/P61812/Q9BRF8/Q8IYS5/Q5JS37/P01033/Q9UNP9/P10144/P09341/Q06033/Q92520/Q9NZK5/P02750/P01024/P14210/P07339/O15078/Q9UHL4/O75629/Q99969/P08236/Q8WVQ1/P07492/P04040/Q01469/P06850/P24158/Q9HD89/P09668/P14174/P16035/P02763/P00813/P19838/P10619/Q92820/P01011/P80188/P61916/P31949/Q14624/O43915/Q9UBR2/P61769/P59665/P25815/Q6XQN6/P06744/Q8NBS9/P49765","stroke_of_other_etiology"
"GO:0030312","external encapsulating structure",306,0.380520808528366,1.60509752392909,1.36738318680396e-05,0.00583872620765291,0.000444294564398469,2333,"tags=58%, list=43%, signal=35%","P00734/Q8IUX8/P35625/P03956/P07093/P23435/P08246/P01127/P02776/P53634/Q9Y251/P05154/P36222/P05230/P09238/P02458/O00622/P29279/Q14112/P45452/Q15389/P09237/P07478/P35443/O43405/P51858/P01137/P04004/O43155/P05121/P15692/P13611/Q14129/O00292/P20908/P09486/P61812/O95388/Q9NZW4/P14543/Q14515/Q14118/P26447/Q9BUD6/O00339/Q17RW2/P01033/Q9HCB6/Q9H4F8/O15123/P04083/Q05315/Q2TAL6/Q8NDA2/P78333/Q6EMK4/P62736/Q6UXH8/Q4KMG0/P07858/O15455/P09525/P07359/P07339/P35052/Q9UKU9/P01241/Q76M96/Q5KU26/Q6PCB0/Q7Z7G0/O00182/P14625/Q9BXN1/P19022/P23471/Q86Y22/Q99969/P12111/P02462/A1L4H1/O43854/Q8TAT2/Q8N8U9/P35556/P24158/Q8WX77/Q53RD9/P09668/Q86VH4/Q9Y5C1/P16150/Q8IUX7/P07711/O75173/P16035/Q9H8L6/P02763/P08294/O00468/P51693/Q9UHF1/Q86T13/Q96HD1/Q76LX8/P13232/O75056/P98160/Q9H3U7/P20774/P01011/Q14624/Q6UXI7/Q9BY76/Q96CG8/Q9UBR2/P59665/Q12805/O15232/P22792/Q96GW7/P05362/P08709/P01019/P50453/Q9UEW3/P02745/Q9UBX1/P24821/P20742/P54108/P16112/P13727/Q15582/P22303/O95833/P03950/P13591/P04217/P25774/P02743/Q15465/Q86XS5/Q15113/P13726/P48745/P51511/Q63HQ2/P07602/O75443/P17931/Q9UBM4/O95841/P35442/P48307/P00748/P02647/P02765/P21741/P14780/P20849/Q96A84/Q17R60/Q08380/P53420/Q86UX2/P04196/P19827/P01009/P51888/Q86TH1/P26927/P21810/P02649/O00300/Q15485/O00602/Q99988/Q8N474","stroke_of_other_etiology"
