"Assay","logFC","AveExpr","t","P.Value","adj.P.Val","B","neg_log10_padj","neg_log10_p","sig","UniProt","delta_NPX","n_samples","analysis_group"
"GKAP1",0.668045909186465,-0.0389947035199332,4.39289179547391,2.04270076134504e-05,0.109929300874854,2.37248854242007,0.958886534035049,4.68979524923393,"Significant","Q5VSY0",0.574331876490572,167,"all_groups_holistic"
"BCL7C",0.643427135963809,-0.0703485908689435,4.17608897577605,4.89054517821361e-05,0.109929300874854,1.65616216491646,0.958886534035049,4.31064272478387,"Significant","Q8WUZ0",0.673754790330934,167,"all_groups_holistic"
"MARK3",0.349804631207822,0.0168137690033656,4.0098545879892,9.34955945351343e-05,0.109929300874854,1.09543856700306,0.958886534035049,4.0292088523805,"Not significant","P27448",0.304550125044642,167,"all_groups_holistic"
"GJA8",-0.756886164006224,-0.163566405574713,-3.95311356942571,0.000116137138566013,0.109929300874854,0.913638925726296,0.958886534035049,3.9350288784947,"Significant","P48165",-0.613379455965876,167,"all_groups_holistic"
"PTPRN",-0.251365141256217,0.0443576153194878,-3.91829939036202,0.000132518588497783,0.109929300874854,0.810075198438784,0.958886534035049,3.87772319858912,"Not significant","Q16849",-0.205486261205225,167,"all_groups_holistic"
"SLC12A1",1.55876266661379,-0.891345369509661,3.87759488206977,0.000154458920956525,0.109929300874854,0.698629136348601,0.958886534035049,3.81118700344989,"Significant","Q13621",0.919085228149279,167,"all_groups_holistic"
"LUC7L",0.291205955720698,-0.00053618307445689,3.82879373831635,0.000185318806852494,0.109929300874854,0.528987390960305,0.958886534035049,3.73208050460015,"Not significant","Q9NQ29",0.331135854418667,167,"all_groups_holistic"
"SUMO1",0.316964939533642,0.11192073532475,3.81329934412115,0.000196283420364848,0.109929300874854,0.481643153976818,0.958886534035049,3.7071163827645,"Not significant","P63165",0.376410239640162,167,"all_groups_holistic"
"NT5E",0.361032789132905,0.17165475140164,3.80592232667806,0.000201717415150326,0.109929300874854,0.44634868085043,0.958886534035049,3.69525660561871,"Not significant","P21589",0.330418281916074,167,"all_groups_holistic"
"LUM",-0.177681343059768,-0.00500058347824961,-3.79957091092964,0.000206509942635929,0.109929300874854,0.434392652604648,0.958886534035049,3.68505903394477,"Not significant","P51884",-0.147521165711891,167,"all_groups_holistic"
"UNC5D",-0.301184612959437,-0.0106608163297712,-3.76223962474905,0.000236934207566236,0.109929300874854,0.338802681913909,0.958886534035049,3.62537223313638,"Not significant","Q6UXZ4",-0.230334129480066,167,"all_groups_holistic"
"ACE2",0.374651723648152,0.117451194220663,3.75470895130687,0.000243565659250047,0.109929300874854,0.298196906093936,0.958886534035049,3.61338394366451,"Not significant","Q9BYF1",0.314335099934012,167,"all_groups_holistic"
"NTF4",-0.286336908068116,0.121261515320017,-3.70301330600291,0.000294061478891464,0.121761866540159,0.141450849867612,0.914488703035084,3.53156186294816,"Not significant","P34130",-0.278662923921245,167,"all_groups_holistic"
"LACRT",-0.4742991433352,0.294268533512169,-3.68423101313588,0.000314746331529214,0.121761866540159,0.0861173257148815,0.914488703035084,3.50203932303393,"Not significant","Q9GZZ8",-0.469104453207807,167,"all_groups_holistic"
