"Assay","logFC","AveExpr","t","P.Value","adj.P.Val","B","neg_log10_padj","neg_log10_p","sig","UniProt","delta_NPX","n_samples","analysis_group"
"MARK3",0.633789336907931,-0.11236214431885,5.33498652155177,4.75344785878894e-06,0.0257446736032009,3.71575086362493,1.58931260988558,5.32299126556267,"Not significant","P27448",0.746161398933166,38,"cardioembolism"
"SOX6",1.74472329504586,0.239863564701457,4.5347444525254,5.69678530068568e-05,0.0952144021325627,1.67744259563385,1.02129735525389,4.24437014783918,"Significant","P35712",1.7176024220056,38,"cardioembolism"
"NANS",0.81305682432675,0.185712655172928,4.49938890798081,6.34690954252001e-05,0.0952144021325627,1.56712855732333,1.02129735525389,4.19743769129757,"Not significant","Q9NR45",0.897167804992447,38,"cardioembolism"
"LSM1",0.808843173874226,-0.0369364241824338,4.46579212338628,7.0320828753739e-05,0.0952144021325627,1.46686444336605,1.02129735525389,4.15291601960302,"Not significant","O15116",0.565601004805002,38,"cardioembolism"
"RAB6B",0.661685530792715,0.192281045215695,4.386761035951,8.94350556543679e-05,0.0968760522848113,1.25475032085926,1.01378356707655,4.04849221841762,"Not significant","Q9NRW1",0.645709118950698,38,"cardioembolism"
"PPCDC",0.557183489780256,0.168498556815872,4.21581782989063,0.000149890487949662,0.131406921201859,0.827562256542337,0.881381759885712,3.82422592660501,"Not significant","Q96CD2",0.860707616557678,38,"cardioembolism"
"ZNRD2",0.782456211778308,0.24481020080183,4.17418188449275,0.000169839078362816,0.131406921201859,0.725714669966031,0.881381759885712,3.76996237554854,"Not significant","O60232",0.889008653807428,38,"cardioembolism"
"CFAP99",-1.26255855018274,0.101399249005082,-4.09449967442809,0.000215506835792712,0.133847988369147,0.507583860185814,0.87338815153528,3.66653894963332,"Significant","D6REC4",-1.43326368776874,38,"cardioembolism"
"RPEL1",1.03530670823557,-0.0811092352102462,4.02987191639829,0.000261164476196039,0.133847988369147,0.372014224363803,0.87338815153528,3.58308589646756,"Significant","Q2QD12",0.917604770025031,38,"cardioembolism"
"TPR",1.03205673930508,0.228742588115366,4.02894404677015,0.000261884225155687,0.133847988369147,0.384779024323709,0.87338815153528,3.58189066092631,"Significant","P12270",1.03450140472915,38,"cardioembolism"
"RPL14",0.892586057390415,0.0921789544364928,4.01634858337144,0.000271847834575445,0.133847988369147,0.348071348149347,0.87338815153528,3.56567412205414,"Not significant","P50914",0.8098523837359,38,"cardioembolism"
"PRKCI",0.471013323018191,0.00995230759297939,3.95939645878196,0.000321702608500582,0.135662137342341,0.199495331017599,0.867541344954377,3.49254541764072,"Not significant","P41743",0.510022768018664,38,"cardioembolism"
"SUMO1",0.645132169540491,0.287147707894052,3.92146812480698,0.000359726730895208,0.135662137342341,0.110690624359259,0.867541344954377,3.44402728904013,"Not significant","P63165",0.727569293551561,38,"cardioembolism"
"TALDO1",0.594188582610931,0.173130032140762,3.91157945985334,0.000370337471326842,0.135662137342341,0.0829242507782775,0.867541344954377,3.43140234312972,"Not significant","P37837",0.742048361136888,38,"cardioembolism"
"GID8",0.531060528023981,0.0994846758886093,3.88652943060287,0.000398595850825253,0.135662137342341,0.0049223906009237,0.867541344954377,3.39946722639086,"Not significant","Q9NWU2",0.522406617906462,38,"cardioembolism"
"TREML2",0.484712183732581,0.0134859604785513,3.88467048171798,0.000400774408692294,0.135662137342341,0.015741291772966,0.867541344954377,3.39710001797554,"Not significant","Q5T2D2",0.512086289694222,38,"cardioembolism"
"LUC7L",0.62764079707915,0.187613880114728,3.81332735300897,0.00049370002277649,0.145748083088125,-0.157520077538442,0.836397148471001,3.30653685274461,"Not significant","Q9NQ29",0.695961885847565,38,"cardioembolism"
"IL17F",0.777581762734526,0.433057195359939,3.80208988279887,0.000510124540155825,0.145748083088125,-0.193000194869198,0.836397148471001,3.29232378370679,"Not significant","Q96PD4",0.502894258809586,38,"cardioembolism"
"DNAJC17",0.77043216591882,0.323944137064054,3.80129756113054,0.000511302359430277,0.145748083088125,-0.188243887378363,0.836397148471001,3.29132220319526,"Not significant","Q9NVM6",1.02783194010974,38,"cardioembolism"
"SSB",0.707400104004303,0.0851740685634707,3.73079321644319,0.000627352769006176,0.165862522722482,-0.360008943119882,0.78025173340612,3.20248818078031,"Not significant","P05455",0.708468590221471,38,"cardioembolism"
"GPI",0.782396667203536,0.0760848176126417,3.72220807783417,0.000643115394603419,0.165862522722482,-0.380554494206445,0.78025173340612,3.19171109434929,"Not significant","P06744",0.749824845915039,38,"cardioembolism"
"MAP1LC3B2",-1.05411954841626,0.180042608199935,-3.67167317721775,0.000743952687427447,0.170409206195811,-0.510273874982921,0.768506946587871,3.12845468305969,"Significant","A6NCE7",-1.51594647574756,38,"cardioembolism"
"CCL14",0.388958660235022,0.232593425941703,3.65867173272249,0.000772269520037204,0.170409206195811,-0.53780994949799,0.768506946587871,3.11223110557451,"Not significant","Q16627",0.434936114193665,38,"cardioembolism"
"ADSL",0.909038643689873,0.181441875094989,3.65246491677621,0.000786151952366638,0.170409206195811,-0.553340759958555,0.768506946587871,3.1044935026931,"Not significant","P30566",0.97100995245726,38,"cardioembolism"
"LGALS3",0.653260777564457,0.285936425633784,3.64466639685591,0.000803936063458148,0.170409206195811,-0.570302174087765,0.768506946587871,3.09477848905186,"Not significant","P17931",0.842603955100801,38,"cardioembolism"
"EIF2B4",0.714716514478173,0.21302458178252,3.63385000836963,0.000829245903951,0.170409206195811,-0.604620028199301,0.768506946587871,3.08131666499494,"Not significant","Q9UI10",0.897323742912461,38,"cardioembolism"
"WFIKKN2",-0.486456460904259,0.104718020165915,-3.62540927564227,0.000849528908287832,0.170409206195811,-0.615238534194879,0.768506946587871,3.07082183810597,"Not significant","Q8TEU8",-0.484260056044311,38,"cardioembolism"
"CD177",1.02034114729509,-0.0823783864708323,3.61073496448363,0.000885935023953339,0.171365146061831,-0.649981159255807,0.766077504538015,3.05259812887288,"Significant","Q8N6Q3",0.560292034223676,38,"cardioembolism"
"DBI",0.740923566533282,0.274991886102055,3.58881766226132,0.000943123985565664,0.176136534683574,-0.702808313129294,0.754150552233783,3.02543121001192,"Not significant","P07108",0.685792045854032,38,"cardioembolism"
"LILRA3",0.331955156750422,0.0978020357923876,3.57122883655706,0.000991574129244774,0.176895947811296,-0.751864866454415,0.752282115441607,3.00367481275618,"Not significant","Q8N6C8",0.382709384174086,38,"cardioembolism"
