"Assay","logFC","AveExpr","t","P.Value","adj.P.Val","B","neg_log10_padj","neg_log10_p","sig","UniProt","delta_NPX","n_samples","analysis_group"
"SYAP1",-2.7183719656144,-0.199885081592947,-4.92458514814737,1.54604569449442e-05,0.0837338348138176,2.6662994889424,1.0770990186646,4.81077767434168,"Significant","Q96A49",-2.09709676629557,40,"large_artery_atherosclerosis"
"CNTN5",-0.603643833026859,-0.106156549189473,-4.51965976958348,5.50758420842782e-05,0.0882423030618152,1.60780732543661,1.05432316564056,4.25903885396368,"Not significant","O94779",-0.657750125878803,40,"large_artery_atherosclerosis"
"UNC5D",-0.632239532682942,-0.109473742183764,-4.41222327938218,7.68310159175917e-05,0.0882423030618152,1.3751434022909,1.05432316564056,4.11446342420502,"Not significant","Q6UXZ4",-0.667768516447862,40,"large_artery_atherosclerosis"
"KLKP1",-2.94959235162341,-1.30110682547092,-4.39329755249635,8.14540423616677e-05,0.0882423030618152,1.3114551309184,1.05432316564056,4.08908735786495,"Significant","Q107X0",-2.32131972021444,40,"large_artery_atherosclerosis"
"NRN1",-0.41432910201085,-0.00661938656121492,-4.34642319280605,9.41105975218339e-05,0.0882423030618152,1.16774623397402,1.05432316564056,4.02636146917518,"Not significant","Q9NPD7",-0.393104794000197,40,"large_artery_atherosclerosis"
"FH",1.51293509839651,-0.441366612794809,4.29520264832628,0.000110146650332159,0.0882423030618152,1.01774169856902,1.05432316564056,3.95802870563422,"Significant","P07954",1.27952138640769,40,"large_artery_atherosclerosis"
"CRX",-1.09058216176638,0.137989423470572,-4.24444368081236,0.000128666156719254,0.0882423030618152,0.893979430685587,1.05432316564056,3.89053567130013,"Significant","O43186",-1.63253152442273,40,"large_artery_atherosclerosis"
"ITGB1",-0.415370387596895,-0.0177716351114213,-4.19429809138253,0.000149938854995966,0.0882423030618152,0.810160584225748,1.05432316564056,3.82408580995538,"Not significant","P05556",-0.403858670468521,40,"large_artery_atherosclerosis"
"TRPC5OS",0.938790578525792,0.111897113407031,4.17881267670472,0.000157176442105894,0.0882423030618152,0.746658513066353,1.05432316564056,3.80361254627436,"Not significant","A6NMA1",1.05835335391652,40,"large_artery_atherosclerosis"
"PDE1C",-1.11162240856232,0.323336797300726,-4.16699363350729,0.000162928919981195,0.0882423030618152,0.739603758404748,1.05432316564056,3.78800182131765,"Significant","Q14123",-1.06077195469255,40,"large_artery_atherosclerosis"
"CES3",1.23194928157301,0.114136113715358,4.1105940318711,0.000193333048137917,0.095190162610451,0.56069590125688,1.02140793128728,3.71369390180614,"Significant","Q6UWW8",1.17186527592086,40,"large_artery_atherosclerosis"
"AOC3",-0.55614666459598,-0.00499731669551693,-4.02424117994893,0.000250877756407619,0.105881553908194,0.36693035522179,0.975179693657033,3.60053784286104,"Not significant","Q16853",-0.494085714339971,40,"large_artery_atherosclerosis"
"CES1",1.15629569801093,0.474993192963302,4.01993480671037,0.000254147009011544,0.105881553908194,0.357995042872543,0.975179693657033,3.59491499702728,"Significant","P23141",0.972491858778142,40,"large_artery_atherosclerosis"
"PTPRH",-0.78487273711248,0.0384126304648817,-3.93978152288872,0.000323130127569727,0.11869151154528,0.157169781754368,0.925580339350926,3.49062254793314,"Not significant","Q9HD43",-0.600005724458579,40,"large_artery_atherosclerosis"
"NTRK2",-0.449310663996931,-0.115449168509804,-3.91622224292932,0.000346654896432799,0.11869151154528,0.10914934207643,0.925580339350926,3.46010266109704,"Not significant","Q16620",-0.457851282350112,40,"large_artery_atherosclerosis"
"POSTN",-0.604279568262672,0.0307300972286612,-3.91238606888753,0.000350639620517813,0.11869151154528,0.0850522509162275,0.925580339350926,3.45513901237209,"Not significant","Q15063",-0.497515025131147,40,"large_artery_atherosclerosis"
