"Assay","logFC","AveExpr","t","P.Value","adj.P.Val","B","neg_log10_padj","neg_log10_p","sig","UniProt","delta_NPX","n_samples","analysis_group"
"SLC12A1",5.05925471255686,-1.31150084609787,11.1625155525616,2.1753611767984e-07,0.00117817561335402,6.58467269091604,2.92878997081696,6.66246862649405,"Significant","Q13621",4.77667733132839,12,"small_vessel_occlusion"
"PTTG1",-4.12349126699584,-2.73006691783667,-10.2461473754766,5.2216711445807e-07,0.00141402854595245,5.55691042840872,2.84954182305362,6.28219048306673,"Significant","O95997",-2.95226169398853,12,"small_vessel_occlusion"
"ZBTB24",3.0178529389039,-0.372486874461174,8.50596636882377,3.33689694365805e-06,0.00602421128228401,4.44823814465397,2.22009980488157,5.47665720583899,"Significant","O43167",2.06332234484809,12,"small_vessel_occlusion"
"IQCA1L",2.68656100055113,-0.459622658789158,8.2441960762706,4.5222543625802e-06,0.00612313240693359,4.15833755945063,2.21302634925627,5.34464501360539,"Significant","A6NCM1",3.06581196529525,12,"small_vessel_occlusion"
"ENTHD1",3.76670634198564,-1.53903548543652,7.8104787705868,7.60440178929926e-06,0.00823708801816896,3.75267497402727,2.0842262932975,5.11893494463857,"Significant","Q8IYW4",2.55965861209801,12,"small_vessel_occlusion"
"ANKUB1",-1.97829619120347,0.17864428460598,-6.97025993362304,2.21259680038102e-05,0.0199723737847726,2.91425159590757,1.69957031468056,4.655097719974,"Significant","A6NFN9",-1.52905222177505,12,"small_vessel_occlusion"
"FH",2.09650693373999,-0.901850479344527,6.47402344624979,4.33117610008792e-05,0.0335109282258231,2.30032946985026,1.47481354238944,4.36339415805228,"Significant","P07954",2.39211658494813,12,"small_vessel_occlusion"
"SHROOM2",1.57664724624818,0.736283670489987,6.35487508399205,5.11353934835441e-05,0.0346186613883594,2.24146901746194,1.46068972914949,4.29127839783463,"Significant","Q13796",1.43484388611146,12,"small_vessel_occlusion"
"TEX33",4.10241338346932,-1.2934083553652,6.23758029381997,6.03282518094872e-05,0.0363042013111314,2.03067977229965,1.4400431132377,4.21947925947546,"Significant","O43247",2.35310456369604,12,"small_vessel_occlusion"
"RNF32",1.11336968277942,0.260978527367115,6.04707472878578,7.9224392707102e-05,0.0429079310901664,1.77339038826742,1.36746242552293,4.10114108120002,"Significant","Q9H0A6",1.17932251095772,12,"small_vessel_occlusion"
"CCL26",-1.01862741402872,0.127072666150828,-5.90987309239167,9.66996072209503e-05,0.0439993288769478,1.60407039143659,1.35655394776975,4.01457528995133,"Significant","Q9Y258",-0.584383013738053,12,"small_vessel_occlusion"
"HSP90AB4P",3.91330771807541,-0.574861762734751,5.90432555920675,9.7487434734744e-05,0.0439993288769478,1.65701294056847,1.35655394776975,4.01105135739921,"Significant","Q58FF6",3.42626763443862,12,"small_vessel_occlusion"
