"Assay","logFC","AveExpr","t","P.Value","adj.P.Val","B","neg_log10_padj","neg_log10_p","sig","UniProt","delta_NPX","n_samples","analysis_group"
"MYT1L",3.72944168402966,-1.80070663243532,16.6982710221214,5.31897718299291e-08,0.000288075804230896,7.98234591793562,3.54049321700694,7.27417187268403,"Significant","Q9UL68",3.44910286987821,10,"stroke_of_other_etiology"
"EREG",3.33927879157458,-1.82448602318764,14.8769066774331,1.43313547594349e-07,0.00033993706781406,6.93261362474567,3.46860147598957,6.84371275330561,"Significant","O14944",2.5613549699386,10,"stroke_of_other_etiology"
"PLCH1",5.02977974438264,-0.806243449449539,14.4088935319022,1.88296012452397e-07,0.00033993706781406,7.10604619410226,3.46860147598957,6.725158876947,"Significant","Q4KWH8",3.99033457040787,10,"stroke_of_other_etiology"
"LELP1",3.44604504747806,-0.00524970963597298,13.0992478441329,4.23189545495363e-07,0.000572998644600721,6.65256067862574,3.241846405333,6.37346506968213,"Significant","Q5T871",3.51602239037553,10,"stroke_of_other_etiology"
"ACADM",-2.19138248454351,0.546926042437553,-10.9372616691401,1.92168035223573e-06,0.00208156415754174,5.0951278758159,2.68161019883584,5.71631885017691,"Significant","P11310",0.294390906890233,10,"stroke_of_other_etiology"
"NFYA",1.93696173759982,-0.157443952560425,10.5637077772893,2.56292330762765e-06,0.00231346543901856,5.06411673301465,2.63573698406365,5.59126438935709,"Significant","P23511",1.33713992436727,10,"stroke_of_other_etiology"
"FAF2",2.42165336121931,0.483155863173306,9.47198073604258,6.27164104491517e-06,0.00485245827132294,4.34328918145657,2.31403819063555,5.20261880629838,"Significant","Q96CS3",1.60249118180946,10,"stroke_of_other_etiology"
"TREML1",2.46742569564704,-0.745147147774696,9.03947679503656,9.15952921764792e-06,0.00620100128034764,4.00561138281312,2.20753817898237,5.03812684766752,"Significant","Q86YW5",1.53506715719899,10,"stroke_of_other_etiology"
"AFAP1",2.55929878489326,0.608018663758412,8.67157335988154,1.27932877425835e-05,0.00769871626820356,3.68991381760102,2.11358168575152,4.89301783198928,"Significant","Q8N556",1.57714402140118,10,"stroke_of_other_etiology"
"EZR",1.61535697183307,0.303635033965111,8.14843950446187,2.09956024596908e-05,0.0113712182921685,3.25286220076108,1.94419300327868,4.67787165895577,"Significant","P15311",0.996569539109866,10,"stroke_of_other_etiology"
"SIAE",1.62055105803241,-0.526026928424835,7.42058223137571,4.3677172169153e-05,0.0215050513152848,2.59396035165417,1.66745951679655,4.35974548731541,"Significant","Q9HAT2",1.34411381185055,10,"stroke_of_other_etiology"
"PPP2R5A",-1.47976878959392,0.654802812635899,-7.28111157576975,5.05709831990741e-05,0.0222434887109068,2.45803705143395,1.65279709617848,4.29609860274907,"Significant","Q15172",-1.03311880553762,10,"stroke_of_other_etiology"
"LHX2",-3.59718250377137,0.0970578074455261,-7.18489463499117,5.60195876668889e-05,0.0222434887109068,2.35136978970452,1.65279709617848,4.25166009213248,"Significant","P50458",-3.66372538606326,10,"stroke_of_other_etiology"
"CD14",1.40516421604666,0.289466214179993,7.16055205572738,5.74979397992421e-05,0.0222434887109068,2.34903463904379,1.65279709617848,4.24034771617733,"Significant","P08571",1.20527998109659,10,"stroke_of_other_etiology"
"CCN1",1.40390650530672,-0.503722724691033,7.0039159854906,6.80965982796045e-05,0.0233202518458355,2.17846735134684,1.63226676374724,4.16687458243811,"Significant","O00622",1.40440708057334,10,"stroke_of_other_etiology"
"TPR",1.46756485818649,0.196101975440979,6.99324428617623,6.8892915349588e-05,0.0233202518458355,2.17528077231763,1.63226676374724,4.1618254367684,"Significant","P12270",1.41285983721415,10,"stroke_of_other_etiology"
"PAXX",1.36537900538906,0.444826850295067,6.82264939734823,8.31100370926775e-05,0.0264778800525848,1.9692474860964,1.57711678956166,4.08034652386047,"Significant","Q9BUH6",0.727473283807437,10,"stroke_of_other_etiology"
"KIF22",-2.02851688952112,0.275575586035848,-6.69799543830306,9.55244916526516e-05,0.0287422581550423,1.85890839420559,1.54147911422029,4.01988526479408,"Significant","Q14807",-1.3565240604803,10,"stroke_of_other_etiology"
"GAS7",2.72543228684391,-1.16014731228352,6.64401626080315,0.000101517976728059,0.0288298332287662,1.80162025808881,1.54015786985723,3.99345704639597,"Significant","O60861",3.18360226104657,10,"stroke_of_other_etiology"
"POTEC",-3.18444836963701,0.914290961623192,-6.58770023731803,0.000108212142492003,0.0288298332287662,1.74085635728542,1.54015786985723,3.96572400428123,"Significant","B2RU33",-3.30437550445398,10,"stroke_of_other_etiology"
"ASGR2",1.11876473010341,0.166444540023804,6.5362032805505,0.000114757393749355,0.0288298332287662,1.68495630563141,1.54015786985723,3.9402193235589,"Significant","P07307",0.862321583554149,10,"stroke_of_other_etiology"
"C2CD2L",1.61777566231854,-0.133826945722103,6.51848894815337,0.000117107889777115,0.0288298332287662,1.66551848042847,1.54015786985723,3.93141384471211,"Significant","O14523",1.61140716448426,10,"stroke_of_other_etiology"
"VEGFC",1.67231444186624,-0.693774113059044,6.39878461491433,0.000134438844113793,0.0306582918905241,1.53332729038843,1.51345204528023,3.87147523018917,"Significant","P49767",1.17208522061507,10,"stroke_of_other_etiology"
"CILK1",1.70151433863946,0.549280282855034,6.35043347767681,0.000142217304391195,0.0306582918905241,1.47844687344429,1.51345204528023,3.84704755730259,"Significant","Q9UPZ9",1.29711378241579,10,"stroke_of_other_etiology"
"SMG6",3.5011188844861,-0.226863366365433,6.30916716085878,0.000149245281396574,0.0306582918905241,1.43336801015761,1.51345204528023,3.82609939082389,"Significant","Q86US8",1.89461983243624,10,"stroke_of_other_etiology"
"PSTPIP1",2.12582507623743,-1.02095865160227,6.28980845805146,0.000152672067212665,0.0306582918905241,1.40954589568545,1.51345204528023,3.81624041392643,"Significant","O43586",1.94218136494358,10,"stroke_of_other_etiology"
"CCER2",1.81271522250821,0.247763654589653,6.27729326699555,0.000154933085739809,0.0306582918905241,1.39260852457881,1.51345204528023,3.80985582936872,"Significant","I3L3R5",1.51064017415047,10,"stroke_of_other_etiology"
"TNFSF14",1.47120932133872,-0.670807242393494,6.25795306512133,0.000158499293377894,0.0306582918905241,1.37501956160684,1.51345204528023,3.7999726696151,"Significant","O43557",1.1475874731938,10,"stroke_of_other_etiology"
"VIM",2.08214658101835,-1.26905115544796,6.22247680272086,0.000165275901223398,0.03073037423344,1.3252855819036,1.51243215088816,3.78179046602129,"Significant","P08670",1.81471543759108,10,"stroke_of_other_etiology"
"TGFB1",1.2292888579086,-0.350463436543942,6.18203293823839,0.000173389252916253,0.03073037423344,1.28981065232207,1.51243215088816,3.7609778246442,"Significant","P01137",1.19364986444513,10,"stroke_of_other_etiology"
"TNFRSF11A",1.05458510259443,0.167524581262842,6.14348322057559,0.000181528274568535,0.03073037423344,1.2397141267986,1.51243215088816,3.74105572030982,"Significant","Q9Y6Q6",1.00239837317107,10,"stroke_of_other_etiology"
"FDX1",-1.10136905124975,-0.444420550391078,-6.14329998342658,0.000181567942295066,0.03073037423344,1.24559382715013,1.51243215088816,3.74096082824534,"Significant","P10109",-1.02142385455469,10,"stroke_of_other_etiology"
