"Assay","logFC","AveExpr","t","P.Value","adj.P.Val","B","neg_log10_padj","neg_log10_p","sig","UniProt","delta_NPX","n_samples","analysis_group"
"SIT1",0.630542940339749,-0.169471731557122,4.35672791035492,4.64668910708051e-05,0.25166468203948,0.412050806111862,0.599177727922398,4.33285638359949,"Not significant","Q9Y3P8",0.679994922377031,67,"stroke_of_undetermined_etiology"
"PTPRR",-0.444812644046182,-0.0445552863416943,-4.11621239188971,0.000107967612973904,0.292376295933331,-0.0927626898726812,0.534057840204775,3.96670650021788,"Not significant","Q15256",-0.406030507134861,67,"stroke_of_undetermined_etiology"
"RICTOR",-0.425196868932222,-0.0365928041161413,-3.89126759015509,0.000232343190127741,0.419456905910615,-0.566621982900996,0.377312651013077,3.6338700519705,"Not significant","Q6R327",-0.461708242667059,67,"stroke_of_undetermined_etiology"
"INPP5J",0.891169297439146,-0.388476858832943,3.79316576645375,0.000322239726281085,0.436312589384589,-0.724290416792876,0.360202255678371,3.4918209200275,"Not significant","Q15735",1.06220433567693,67,"stroke_of_undetermined_etiology"
"BSPRY",-0.310334494478906,0.133930768880215,-3.67602161000656,0.000473376609443587,0.512761543349293,-1.00018006972358,0.29008455396014,3.32479320530121,"Not significant","Q5W0U4",-0.50827279679796,67,"stroke_of_undetermined_etiology"
"PTPRN",-0.360012245062616,0.0359311796509341,-3.56391103817395,0.000679703972915193,0.613091487680633,-1.19791202324626,0.212474713686814,3.16768019159002,"Not significant","Q16849",-0.320849325791261,67,"stroke_of_undetermined_etiology"
"SRFBP1",0.655967789707247,-0.180205584635763,3.4082434826657,0.00111136525119093,0.613091487680633,-1.51579654676955,0.212474713686814,2.95414318632692,"Not significant","Q8NEF9",0.610330200663071,67,"stroke_of_undetermined_etiology"
"DNAJC19",0.466356145442114,-0.17744307545945,3.36998537814195,0.00125167229832152,0.613091487680633,-1.56703747371804,0.212474713686814,2.90250935935195,"Not significant","Q96DA6",0.613765214585389,67,"stroke_of_undetermined_etiology"
"C4orf46",-0.364283123712924,-0.0232059100865206,-3.35760243313015,0.00130055854424232,0.613091487680633,-1.63859026962408,0.212474713686814,2.88587009339574,"Not significant","Q504U0",-0.403399289022661,67,"stroke_of_undetermined_etiology"
"SHE",-0.70610913158453,-0.389951268822622,-3.34551481038378,0.00135001226890653,0.613091487680633,-1.63748641336403,0.212474713686814,2.86966228462041,"Not significant","Q5VZ18",-0.811059496404083,67,"stroke_of_undetermined_etiology"
"LACRT",-0.631582278300848,0.31911691475604,-3.33245013707476,0.00140545521574647,0.613091487680633,-1.66122440948672,0.212474713686814,2.85218298845146,"Not significant","Q9GZZ8",-0.789833304921987,67,"stroke_of_undetermined_etiology"
"FOXA3",-0.375237943654043,-0.00571386304635332,-3.29055162246409,0.00159808941524241,0.613091487680633,-1.76699087849524,0.212474713686814,2.79639892498449,"Not significant","P55318",-0.432181604458061,67,"stroke_of_undetermined_etiology"
"CCP110",0.665460761469861,-0.0295953294401293,3.23898448743991,0.00186931647395376,0.613091487680633,-1.84905121713091,0.212474713686814,2.72831716664865,"Not significant","O43303",0.599687695278375,67,"stroke_of_undetermined_etiology"
